"Poverty headcount ratio at $2.15/day (%, 2025)"
ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ARG,Argentina,6.05,9.21,12.41,7.19,4.47,3.31,3.21,2.2,2.04,1.88,1.27,1.04,1.09,1.02,1.05,1.04,1.1,1.04,1.3,1.51,1.45,1.23,1.05,1.07,1.13,1.07
AUS,Australia,0.14,0.14,0.18,0.22,0.08,0.09,0.11,0.12,0.12,0.12,0.12,0.15,0.19,0.22,0.26,0.24,0.2,0.27,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.34
BRA,Brazil,15.77,14.92,15.4,14.36,12.89,11.82,10.11,9.16,8.23,7.43,6.88,6.5,5.58,4.66,4.18,4.76,5.8,6.32,6.41,6.39,2.53,6.94,6.01,5.93,5.84,5.79
CAN,Canada,0.36,0.31,0.28,0.28,0.31,0.33,0.29,0.28,0.31,0.24,0.27,0.17,0.28,0.33,0.27,0.25,0.2,0.21,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.23
CHN,China,42.08,39.73,36.52,33.38,28.64,23.25,21.2,18.34,17.11,15.41,13.57,10.06,8.46,3.21,2.29,1.26,1.09,1.03,0.89,0.75,0.71,0.61,0.61,0.58,0.56,0.54
DEU,Germany,0.09,0.07,0.09,0.18,0.13,0.13,0.09,0.11,0.12,0.1,0.08,0.08,0.1,0.13,0.19,0.22,0.25,0.35,0.29,0.33,0.37,0.37,0.37,0.37,0.37,0.37
FRA,France,0.09,0.1,0.05,0.04,0.02,0.07,0.03,0.03,0.08,0.11,0.09,0.07,0.1,0.09,0.12,0.22,0.22,0.17,0.13,0.17,0.28,0.27,0.27,0.27,0.27,0.27
GBR,United Kingdom,0.15,0.14,0.19,0.16,0.12,0.17,0.15,0.08,0.19,0.18,0.1,0.08,0.09,0.03,0.1,0.09,0.19,0.15,0.12,0.19,0.11,0.14,0.14,0.14,0.14,0.14
IDN,Indonesia,30.29,27.83,19.07,19.01,20.01,18.62,25.34,19.51,19.86,18.17,14.93,13.47,12.93,10.46,9.13,9.14,7.55,6.35,5.31,4.65,4.03,3.94,3.26,2.79,2.42,2.09
IND,India,27.39,26.58,26.94,26.18,25.74,25.07,25.25,24.69,25.18,25.45,19.56,11.65,9.83,8.09,7.09,6.03,4.99,4.23,3.42,2.83,3.32,2.2,1.62,1.3,1.14,1.05
ITA,Italy,1.22,1.23,1.25,0.73,0.7,0.68,0.68,0.7,0.73,0.78,1.01,0.9,1.05,1.16,1.05,1.62,2.05,1.72,1.32,0.77,0.89,0.74,0.72,0.72,0.71,0.71
JPN,Japan,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.26,0.15,0.22,0.3,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38
KOR,"Korea, Rep.",0.44,0.43,0.4,0.41,0.41,0.4,0.38,0.36,0.33,0.43,0.51,0.48,0.46,0.39,0.32,0.34,0.32,0.28,0.15,0.16,0.13,0.1,0.09,0.09,0.09,0.09
MEX,Mexico,12.21,10.41,8.84,9.94,10.78,8.85,6.48,8.2,9.96,8.32,5.88,5.46,5.22,5.43,5.74,4.6,3.7,3.34,3,4.09,5.06,3.64,1.91,1.85,1.83,1.82
RUS,Russian Federation,3.24,2.1,1.45,1.56,1.41,1.22,1,0.89,0.75,0.73,0.71,0.66,0.67,0.63,0.6,0.61,0.6,0.61,0.61,0.57,0.56,0.51,0.52,0.5,0.48,0.47
TUR,Türkiye,2.09,2.79,2.68,4.34,2.46,2.7,2.02,1.55,1.42,1.22,1.28,1.06,0.99,0.98,0.9,0.99,0.87,0.82,0.82,0.94,0.92,0.81,0.7,0.68,0.67,0.65
USA,United States,0.63,0.68,0.65,0.67,0.68,0.66,0.67,0.64,0.68,0.63,0.69,0.69,0.7,0.68,0.79,0.73,0.7,0.76,0.66,0.6,0.49,0.44,0.74,0.73,0.72,0.72
ZAF,South Africa,32.23,31.69,31.13,30.7,29.36,27.91,24.35,21.56,20.09,20.76,19.55,19.76,20.15,20.93,21.81,21.65,21.8,21.69,21.26,21.23,22.92,21.85,21.53,21.6,21.59,21.46

Source: World Data Lab

Sustainable Development Report 2025 (www.sdgindex.org)
