"Literacy rate (% of population aged 15 to 24, 2022)"
ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BRA,Brazil,94,95.8,96.31,96.63,96.81,97.11,97.55,97.78,97.84,98.06,98,98.49,98.62,98.74,98.85,98.96,99.07,99.14,99.04,99.1,99.23,99.28,99.28,
CHN,China,99,,,,,,,,,,100,,,,,,,,,,100,,,
IDN,Indonesia,,,,,99,,97,,99,99,,99,,,100,100,100,99.58,100,,100,,,
IND,India,,76,,,,,81,,,,,86,,,,,90.29,,,,94.6,,97,97
ITA,Italy,,100,,,,,,,,,,100,,,,,,,,100,,,,
KOR,"Korea, Rep.",,,,,,,,,100,,,,,,,,,,100,,,,,
MEX,Mexico,97.33,,97.52,,97.29,98,97.86,98,98.29,99,98.41,98,98.75,99,98.65,99,98.6,99,98.61,,98.96,,98.95,
RUS,Russian Federation,,,100,,,,,,,,100,,,,,,,,,,,100,,
SAU,Saudi Arabia,96,,,,96,,,,,,,,,99,,,,99,,,99,,,
TUR,Türkiye,,,,,96,96,96,96,,98,98,99,99,99,99,99,100,100,99.39,100,,,,
ZAF,South Africa,,,,,,,,98,,98,99,99,99,,99,99,96.71,95,,98,,97,,

Source: UNESCO

Sustainable Development Report 2025 (www.sdgindex.org)
